# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
PVP01_0000010	PVP01_0000010	PVP01_0000010		0	4	3	177	0	0	0	0	177	0	0	0	3	0	0	0	0	0	0	0	4	0
PVP01_0000020	PVP01_0000020	PVP01_0000020		2	6	38	244	0	0	1	0	177	2	0	0	37	0	0	0	0	0	0	0	6	67
PVP01_0000030	PVP01_0000030	PVP01_0000030		28	30	161	349	0	5	5	6	177	25	0	0	145	0	0	0	0	7	0	0	30	172
PVP01_0000040	PVP01_0000040	PVP01_0000040		11	30	67	478	0	0	0	0	211	8	0	4	67	0	1	3	1	1	0	0	28	266
PVP01_0000050	PVP01_0000050	PVP01_0000050		5	26	108	350	1	0	1	1	296	4	0	8	105	0	0	2	0	1	0	0	25	47
PVP01_0000060	PVP01_0000060	PVP01_0000060		0	0	1	203	0	0	0	0	189	0	0	0	1	0	0	0	0	0	0	0	0	14
PVP01_0000070	PVP01_0000070	PVP01_0000070		0	0	3	36	0	0	0	0	24	0	0	1	3	0	0	0	0	0	0	0	0	11
PVP01_0000080	PVP01_0000080	PVP01_0000080		2	0	3	24	0	0	0	0	11	2	0	1	3	0	0	0	0	0	0	0	0	12
PVP01_0000090	PVP01_0000090	PVP01_0000090		0	1	2	24	0	0	0	0	11	0	0	1	2	0	0	0	0	0	0	0	1	12
PVP01_0000100	PVP01_0000100	PVP01_0000100		0	3	3	21	1	0	0	0	13	0	0	1	2	0	0	1	0	0	0	0	2	8
PVP01_0000110	PVP01_0000110	PVP01_0000110		0	0	2	23	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	15
PVP01_0000120	PVP01_0000120	PVP01_0000120		0	1	1	25	0	0	0	0	11	0	0	2	1	0	0	0	0	0	0	0	1	12
