Chromosome	Gene	Start	End	Ratio
FLZR01000002	PIR protein(PVP01_0010310)	2599	3600	0.535988
FLZR01000004	hypothetical protein(PVP01_0010330)	3032	3551	0.000000
FLZR01000004	PIR protein(PVP01_0010320)	646	1911	0.284565
FLZR01000005	PIR protein(PVP01_0010340)	824	2889	-nan
FLZR01000007	PIR protein(PVP01_0010350)	2631	3714	0.394309
FLZR01000008	PIR protein(PVP01_0010370)	2867	3768	-nan
FLZR01000008	PIR protein(PVP01_0010360)	70	1294	0.186024
FLZR01000009	PIR protein(PVP01_0010380)	1827	3717	-nan
FLZR01000011	PIR protein(PVP01_0004200)	129080	130384	0.085394
FLZR01000011	PIR protein(PVP01_0004190)	124478	126132	0.074549
FLZR01000011	PIR protein(PVP01_0004180)	120249	121600	0.708744
FLZR01000011	PIR protein(PVP01_0004170)	114012	115848	1.247819
FLZR01000011	PIR protein(PVP01_0004160)	109496	110635	0.115567
FLZR01000011	PIR protein(PVP01_0004150)	105773	107431	0.310627
FLZR01000011	PIR protein(PVP01_0004140)	101053	104038	-nan
FLZR01000011	PIR protein(PVP01_0004130)	96681	97997	0.528706
FLZR01000011	PIR protein(PVP01_0004120)	90303	90901	0.466130
FLZR01000011	PIR protein(PVP01_0004110)	85576	87185	0.746553
FLZR01000011	PIR protein(PVP01_0004100)	80849	82340	1.816317
FLZR01000011	PIR protein(PVP01_0004090)	79786	80322	0.000000
FLZR01000011	PIR protein(PVP01_0004080)	76104	78011	-nan
FLZR01000011	PIR protein(PVP01_0004070)	72210	73582	0.584390
FLZR01000011	PIR protein(PVP01_0004060)	67364	68715	0.192442
FLZR01000011	(PVP01_0004050)	61305	62640	0.584970
FLZR01000011	(PVP01_0004040)	56025	57277	-nan
FLZR01000011	PIR protein(PVP01_0004030)	49766	51087	1.523882
FLZR01000011	PIR protein(PVP01_0004020)	45349	46704	1.288913
FLZR01000011	PIR protein(PVP01_0004010)	41067	41776	0.355992
FLZR01000011	Plasmodium exported protein, unknown function(PVP01_0004000)	36855	37879	0.913933
FLZR01000011	Plasmodium exported protein, unknown function(PVP01_0003990)	32331	33286	2.062664
FLZR01000011	PIR protein(PVP01_0003980)	25455	27594	0.560996
FLZR01000011	PIR protein(PVP01_0003970)	23002	24424	0.000000
FLZR01000011	(PVP01_0003960)	15407	16636	1.002846
FLZR01000011	PIR protein(PVP01_0003950)	11210	12524	2.083982
FLZR01000011	PIR protein(PVP01_0003940)	6737	7876	0.548339
FLZR01000011	PIR protein(PVP01_0003930)	1402	3045	0.285236
FLZR01000012	PIR protein(PVP01_0010400)	2406	3619	0.212819
FLZR01000012	Plasmodium exported protein, unknown function(PVP01_0010390)	175	1050	1.112655
FLZR01000013	PIR protein(PVP01_0010410)	3314	3475	0.014859
FLZR01000014	PIR protein(PVP01_0010420)	297	1686	0.000056
FLZR01000015	Plasmodium exported protein, unknown function(PVP01_0010430)	1655	2473	2.835067
FLZR01000019	PIR protein(PVP01_0010440)	1	1881	1.629100
FLZR01000020	PIR protein(PVP01_0004410)	112466	114064	0.948362
FLZR01000020	PIR protein(PVP01_0004400)	107478	108762	1.645907
FLZR01000020	PIR protein(PVP01_0004390)	102560	103871	1.545208
FLZR01000020	PIR protein(PVP01_0004380)	96436	98218	1.529673
FLZR01000020	PIR protein(PVP01_0004370)	92347	93678	0.682921
FLZR01000020	PIR protein(PVP01_0004360)	88284	89683	0.584859
FLZR01000020	PIR protein(PVP01_0004350)	83826	85445	1.479768
FLZR01000020	PIR protein(PVP01_0004340)	79628	81265	1.400838
FLZR01000020	PIR protein(PVP01_0004330)	73230	74489	1.400172
FLZR01000020	PIR protein(PVP01_0004320)	68624	70030	1.282896
FLZR01000020	PIR protein(PVP01_0004310)	63427	64976	1.009323
FLZR01000020	Plasmodium exported protein, unknown function(PVP01_0004300)	59973	61124	1.337240
FLZR01000020	Plasmodium exported protein, unknown function(PVP01_0004290)	56653	57613	1.270478
FLZR01000020	Plasmodium exported protein, unknown function(PVP01_0004280)	49258	50509	1.313608
FLZR01000020	hypothetical protein(PVP01_0004275)	39651	40247	2.300615
FLZR01000020	(PVP01_0004270)	35851	36940	1.142941
FLZR01000020	hypothetical protein(PVP01_0004260)	31331	32150	1.189173
FLZR01000020	hypothetical protein(PVP01_0004250)	28346	29023	1.361071
FLZR01000020	PIR protein(PVP01_0004240)	23793	25359	1.273574
FLZR01000020	PIR protein(PVP01_0004230)	17239	18486	1.300506
FLZR01000020	Plasmodium exported protein (PHISTc), unknownfunction(PVP01_0004220)	13012	14044	1.158143
FLZR01000020	early transcribed membrane protein(PVP01_0004210)	9600	10226	1.028830
FLZR01000022	PIR protein(PVP01_0010450)	586	1809	1.484194
FLZR01000024	PIR protein(PVP01_0010460)	1754	2164	-nan
FLZR01000025	PIR protein(PVP01_0010470)	559	2138	0.214153
FLZR01000026	hypothetical protein(PVP01_0010480)	1281	1696	2.081198
FLZR01000027	PIR protein(PVP01_0010490)	1049	2028	-nan
FLZR01000028	PIR protein(PVP01_0010500)	121	1623	1.249512
FLZR01000029	PIR protein(PVP01_0004680)	116827	117582	-nan
FLZR01000029	PIR protein(PVP01_0004670)	111908	113199	0.321584
FLZR01000029	PIR protein(PVP01_0004660)	106544	108102	0.034963
FLZR01000029	PIR protein(PVP01_0004650)	100007	101343	1.276434
FLZR01000029	(PVP01_0004640)	94976	96316	1.164359
FLZR01000029	PIR protein(PVP01_0004630)	90457	91888	1.481870
FLZR01000029	PIR protein(PVP01_0004620)	86284	88091	1.191621
FLZR01000029	PIR protein(PVP01_0004610)	82040	83631	0.089623
FLZR01000029	PIR protein(PVP01_0004600)	76913	78247	0.170177
FLZR01000029	PIR protein(PVP01_0004590)	73144	74370	0.460305
FLZR01000029	PIR protein(PVP01_0004580)	67490	68912	0.000010
FLZR01000029	(PVP01_0004570)	61282	63102	1.519725
FLZR01000029	PIR protein(PVP01_0004560)	57845	59122	0.570947
FLZR01000029	PIR protein(PVP01_0004550)	55046	56361	0.678967
FLZR01000029	PIR protein(PVP01_0004540)	50771	51985	0.281791
FLZR01000029	(PVP01_0004530)	48121	48956	0.000000
FLZR01000029	Plasmodium exported protein, unknown function(PVP01_0004520)	45055	45990	1.438136
FLZR01000029	Plasmodium exported protein, unknown function(PVP01_0004510)	42021	42922	1.648991
FLZR01000029	PIR protein(PVP01_0004500)	33726	35004	0.629833
FLZR01000029	PIR protein(PVP01_0004490)	31975	32666	0.467157
FLZR01000029	PIR protein(PVP01_0004480)	30095	31333	0.085183
FLZR01000029	(PVP01_0004470)	26793	27562	0.282582
FLZR01000029	PIR protein(PVP01_0004460)	23770	24910	0.082055
FLZR01000029	PIR protein(PVP01_0004450)	16773	18044	0.116796
FLZR01000029	PIR protein(PVP01_0004440)	13176	14790	0.283623
FLZR01000029	PIR protein(PVP01_0004430)	8137	9502	0.305165
